date,region,state,cases,deaths
2020-04-06,Norte,TO,17.0,0.0
2020-04-07,Norte,AC,50.0,1.0
2020-04-07,Nordeste,AL,26.0,2.0
2020-04-07,Norte,AM,636.0,23.0
2020-04-07,Norte,AP,48.0,2.0
2020-04-07,Nordeste,BA,454.0,14.0
2020-04-07,Nordeste,CE,1177.0,41.0
2020-04-07,Centro-Oeste,DF,492.0,12.0
2020-04-07,Sudeste,ES,209.0,6.0
2020-04-07,Centro-Oeste,GO,133.0,5.0
2020-04-07,Nordeste,MA,172.0,4.0
2020-04-07,Sudeste,MG,549.0,11.0
2020-04-07,Centro-Oeste,MS,80.0,2.0
2020-04-07,Centro-Oeste,MT,78.0,1.0
2020-04-07,Norte,PA,139.0,5.0
2020-04-07,Nordeste,PB,36.0,4.0
2020-04-07,Nordeste,PE,345.0,33.0
2020-04-07,Nordeste,PI,28.0,4.0
2020-04-07,Sul,PR,503.0,15.0
2020-04-07,Sudeste,RJ,1687.0,89.0
2020-04-07,Nordeste,RN,250.0,8.0
2020-04-07,Norte,RO,18.0,1.0
2020-04-07,Norte,RR,42.0,1.0
2020-04-07,Sul,RS,508.0,8.0
2020-04-07,Sul,SC,407.0,11.0
2020-04-07,Nordeste,SE,36.0,4.0
2020-04-07,Sudeste,SP,5605.0,371.0
2020-04-07,Norte,TO,19.0,0.0
2020-04-08,Norte,AC,54.0,2.0
2020-04-08,Nordeste,AL,31.0,2.0
2020-04-08,Norte,AM,804.0,30.0
2020-04-08,Norte,AP,107.0,2.0
2020-04-08,Nordeste,BA,506.0,18.0
2020-04-08,Nordeste,CE,1360.0,53.0
2020-04-08,Centro-Oeste,DF,509.0,12.0
2020-04-08,Sudeste,ES,227.0,6.0
2020-04-08,Centro-Oeste,GO,155.0,7.0
2020-04-08,Nordeste,MA,230.0,11.0
2020-04-08,Sudeste,MG,600.0,14.0
2020-04-08,Centro-Oeste,MS,85.0,2.0
2020-04-08,Centro-Oeste,MT,90.0,1.0
2020-04-08,Norte,PA,167.0,6.0
2020-04-08,Nordeste,PB,41.0,4.0
2020-04-08,Nordeste,PE,394.0,45.0
2020-04-08,Nordeste,PI,31.0,5.0
2020-04-08,Sul,PR,539.0,17.0
2020-04-08,Sudeste,RJ,1937.0,106.0
2020-04-08,Nordeste,RN,249.0,11.0
2020-04-08,Norte,RO,26.0,1.0
2020-04-08,Norte,RR,49.0,1.0
2020-04-08,Sul,RS,555.0,9.0
2020-04-08,Sul,SC,447.0,15.0
2020-04-08,Nordeste,SE,36.0,4.0
2020-04-08,Sudeste,SP,6622.0,428.0
2020-04-08,Norte,TO,23.0,0.0
2020-04-09,Norte,AC,62.0,2.0
2020-04-09,Nordeste,AL,31.0,2.0
2020-04-09,Norte,AM,899.0,40.0
2020-04-09,Norte,AP,128.0,2.0
2020-04-09,Nordeste,BA,559.0,19.0
2020-04-09,Nordeste,CE,1437.0,57.0
2020-04-09,Centro-Oeste,DF,527.0,13.0
2020-04-09,Sudeste,ES,273.0,6.0
2020-04-09,Centro-Oeste,GO,175.0,7.0
2020-04-09,Nordeste,MA,273.0,12.0
2020-04-09,Sudeste,MG,637.0,15.0
2020-04-09,Centro-Oeste,MS,89.0,2.0
2020-04-09,Centro-Oeste,MT,108.0,2.0
